City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Kamina,CD,2020-10-26 21:07:42,-8.74,24.99,67.35,92,89,3.65
144,Endicott,US,2020-10-26 21:03:24,42.1,-76.05,57.0,93,90,9.17
145,Mweka,CD,2020-10-26 21:07:42,-4.85,21.57,69.06,95,67,1.86
146,Vamvakou,GR,2020-10-26 21:07:42,39.33,22.42,57.99,62,0,2.26
147,Rio Grande,BR,2020-10-26 21:05:38,-32.03,-52.1,66.99,95,100,8.01
148,Mendi,PG,2020-10-26 21:07:42,-6.18,143.65,54.48,96,97,2.89
149,Kavaratti,IN,2020-10-26 21:07:43,10.57,72.64,82.26,72,84,6.91
150,Makamba,BI,2020-10-26 21:07:43,-4.13,29.8,65.89,82,100,3.02
151,Marquette,US,2020-10-26 21:07:43,46.53,-87.63,33.01,86,97,8.21
152,Rawson,AR,2020-10-26 21:07:43,-43.3,-65.1,70.14,31,100,20.65
153,Mahebourg,MU,2020-10-26 21:07:44,-20.41,57.7,73.4,73,40,10.29
154,Hobyo,SO,2020-10-26 21:07:44,5.35,48.53,79.2,80,27,6.53
155,Sigiriya,LK,2020-10-26 21:07:44,7.95,80.74,74.55,89,100,1.01
156,Hit,IQ,2020-10-26 21:07:44,33.64,42.83,66.4,25,0,3.53
157,Dromolaxia,CY,2020-10-26 21:07:44,34.88,33.59,73.4,56,0,6.93
158,Touros,BR,2020-10-26 21:07:44,-5.2,-35.46,82.4,69,20,13.87
159,Husavik,IS,2020-10-26 21:07:44,66.04,-17.34,37.4,69,90,5.82
160,Manicore,BR,2020-10-26 21:07:44,-5.81,-61.3,92.57,50,47,3.29
161,Goure,NE,2020-10-26 21:07:44,13.98,10.27,80.01,23,0,4.0
162,Qasigiannguit,GL,2020-10-26 21:07:45,68.82,-51.19,19.4,73,75,4.7
163,Menongue,AO,2020-10-26 21:07:45,-14.66,17.69,72.93,24,63,3.27
164,Guanica,PR,2020-10-26 21:07:45,17.97,-66.91,86.0,69,27,1.99
165,Coihaique,CL,2020-10-26 21:07:45,-45.58,-72.07,55.4,43,40,11.41
166,Chipata,ZM,2020-10-26 21:07:45,-13.63,32.65,70.3,58,16,8.68
167,Maldonado,UY,2020-10-26 21:07:05,-34.67,-54.92,59.0,77,75,16.11
168,Vaghodia,IN,2020-10-26 21:07:45,22.3,73.38,75.13,41,48,4.5
169,Biltine,TD,2020-10-26 21:07:45,14.53,20.92,81.64,16,45,6.85
170,Porto Belo,BR,2020-10-26 21:07:45,-27.16,-48.55,75.2,83,40,14.99
171,Talara,PE,2020-10-26 21:07:46,-4.58,-81.27,67.95,80,85,12.84
172,Sarakhs,IR,2020-10-26 21:07:46,36.54,61.16,53.6,37,86,2.24
173,Hofn,IS,2020-10-26 21:07:46,64.25,-15.21,37.06,77,6,11.59
174,Wenceslau Braz,BR,2020-10-26 21:07:46,-23.87,-49.8,73.99,88,99,3.0
175,Camacha,PT,2020-10-26 21:07:46,33.08,-16.33,66.2,68,40,6.93
176,Ambilobe,MG,2020-10-26 21:07:46,-13.2,49.05,72.66,73,10,4.43
177,New Glasgow,CA,2020-10-26 21:06:59,45.58,-62.65,45.0,71,96,4.0
178,Ashitkovo,RU,2020-10-26 21:07:46,55.44,38.59,44.6,81,75,4.47
179,Bure,ET,2020-10-26 21:07:46,10.7,37.07,55.2,80,0,4.79
180,Baja,HU,2020-10-26 21:07:47,46.17,18.96,55.78,76,3,7.36
181,Kasangulu,CD,2020-10-26 21:07:47,-4.59,15.17,73.22,88,96,1.9
182,Kalabo,ZM,2020-10-26 21:07:47,-14.97,22.68,77.5,21,44,4.47
183,Shilovo,RU,2020-10-26 21:07:47,54.32,40.87,42.01,78,94,1.01
184,Margate,GB,2020-10-26 21:07:47,51.38,1.39,51.01,66,67,5.01
185,Oni,GE,2020-10-26 21:07:47,42.58,43.44,55.31,40,0,4.27
186,Kutum,SD,2020-10-26 21:07:47,14.2,24.67,73.35,21,48,11.1
187,Tiznit,MA,2020-10-26 21:07:47,29.58,-9.5,60.31,81,5,2.71
188,Santander,ES,2020-10-26 21:04:32,43.46,-3.8,60.01,58,20,13.87
189,Grand Gaube,MU,2020-10-26 21:07:48,-20.01,57.66,73.0,74,0,5.99
190,Tanout,NE,2020-10-26 21:07:48,14.97,8.89,80.42,16,0,8.59
191,Faya,SA,2020-10-26 21:07:48,18.39,42.45,64.4,17,0,3.36
192,Nagua,DO,2020-10-26 21:07:48,19.38,-69.85,84.2,89,40,9.17
193,Chadiza,ZM,2020-10-26 21:07:48,-14.07,32.44,71.87,54,4,6.62
194,Sechura,PE,2020-10-26 21:07:48,-5.56,-80.82,75.04,59,42,16.51
195,Mehamn,NO,2020-10-26 21:07:48,71.04,27.85,32.0,84,0,16.11
196,Rundu,NA,2020-10-26 21:05:42,-17.93,19.77,76.03,19,0,4.68
197,Riviere-Au-Renard,CA,2020-10-26 21:07:49,49.0,-64.4,37.4,47,90,10.29
198,Parrita,CR,2020-10-26 21:07:49,9.52,-84.32,75.2,69,75,8.05
199,Mao,ES,2020-10-26 21:07:49,39.89,4.27,53.6,81,0,3.36
200,Savantvadi,IN,2020-10-26 21:07:49,15.9,73.82,73.38,92,0,3.22
201,Maniitsoq,GL,2020-10-26 21:07:49,65.42,-52.9,27.95,88,1,15.86
202,Sembe,CG,2020-10-26 21:07:49,1.65,14.58,71.24,92,91,0.85
203,Cap Malheureux,MU,2020-10-26 21:07:49,-19.98,57.61,73.0,74,0,5.99
204,Corn Island,NI,2020-10-26 21:07:49,12.17,-83.04,83.52,71,100,6.53
205,Carutapera,BR,2020-10-26 21:07:49,-1.2,-46.02,81.37,75,88,6.73
206,Sayyan,YE,2020-10-26 21:07:50,15.17,44.32,51.57,37,0,4.25
207,Rocha,UY,2020-10-26 21:07:50,-34.48,-54.33,56.61,72,100,15.23
208,Cidreira,BR,2020-10-26 21:07:50,-30.18,-50.21,68.85,94,100,7.49
209,Havoysund,NO,2020-10-26 21:07:50,71.0,24.66,37.4,68,0,20.8
210,Paramonga,PE,2020-10-26 21:07:50,-10.67,-77.83,67.73,73,99,9.06
211,Piracuruca,BR,2020-10-26 21:07:50,-3.93,-41.71,86.65,56,74,11.97
212,Acarau,BR,2020-10-26 21:07:50,-2.89,-40.12,79.52,79,0,14.54
213,Garowe,SO,2020-10-26 21:07:50,8.41,48.48,74.64,72,36,10.87
214,Potiskum,NG,2020-10-26 21:07:50,11.71,11.07,79.92,23,0,8.61
